"date","n","avg"
2018-09-21,2654,1905.57142857143
2018-09-24,3230,1948.57142857143
2018-09-25,2491,1924.14285714286
2018-09-26,2583,1936.28571428571
2018-09-27,2196,1879.14285714286
2018-09-28,2345,1835
2018-09-29,1134,1997
2018-10-01,2551,1900
2018-10-02,2521,1904.28571428571
2018-10-03,2930,1953.85714285714
2018-10-04,2672,2021.85714285714
2018-10-05,2049,1979.57142857143
2018-10-06,136,1837
2018-10-07,268,1875.28571428571
2018-10-08,3248,1974.85714285714
2018-10-09,2532,1976.42857142857
2018-10-10,2909,1973.42857142857
2018-10-11,2544,1955.14285714286
2018-10-12,2454,2013
2018-10-13,1,1993.71428571429
2018-10-14,1055,2106.14285714286
2018-10-15,2451,1992.28571428571
2018-10-16,2469,1983.28571428571
2018-10-17,2440,1916.28571428571
2018-10-18,2355,1889.28571428571
2018-10-19,2299,1867.14285714286
2018-10-20,2,1867.28571428571
2018-10-21,179,1742.14285714286
2018-10-22,3194,1848.28571428571
2018-10-23,2983,1921.71428571429
2018-10-24,2394,1915.14285714286
2018-10-25,2578,1947
2018-10-26,2365,1956.42857142857
2018-10-29,3048,1909.71428571429
2018-10-30,2581,1852.28571428571
2018-10-31,2370,1848.85714285714
2018-11-01,2446,1830
2018-11-02,2336,1825.85714285714
2018-11-03,21,1828.85714285714
2018-11-05,3406,1880
2018-11-06,3148,1961
2018-11-07,2671,2004
2018-11-08,2519,2014.42857142857
2018-11-09,2501,2038
2018-11-10,1,2035.14285714286
2018-11-12,2907,1963.85714285714
2018-11-13,2632,1890.14285714286
2018-11-14,2547,1872.42857142857
2018-11-15,2542,1875.71428571429
2018-11-16,2559,1884
2018-11-17,2,1884.14285714286
2018-11-19,3041,1903.28571428571
2018-11-20,2577,1895.42857142857
2018-11-21,2603,1903.42857142857
2018-11-22,2423,1886.42857142857
2018-11-23,2256,1843.14285714286
2018-11-24,3,1843.28571428571
2018-11-26,3097,1851.28571428571
2018-11-27,2489,1838.71428571429
2018-11-28,2559,1832.42857142857
2018-11-29,2336,1820
2018-11-30,2156,1805.71428571429
2018-12-01,73,1815.71428571429
2018-12-03,2934,1792.42857142857
2018-12-04,2567,1803.57142857143
2018-12-05,2544,1801.42857142857
2018-12-06,2204,1782.57142857143
2018-12-07,2272,1799.14285714286
2018-12-08,1,1788.85714285714
2018-12-10,2797,1769.28571428571
2018-12-11,2330,1735.42857142857
2018-12-12,2290,1699.14285714286
2018-12-13,1722,1630.28571428571
2018-12-14,2631,1681.57142857143
2018-12-17,2523,1642.28571428571
2018-12-18,2198,1623.42857142857
2018-12-19,2559,1661.85714285714
2018-12-20,1984,1699.28571428571
2018-12-21,2089,1621.85714285714
2018-12-24,2064,1556.28571428571
2018-12-26,1,876.857142857143
2018-12-27,1317,781.571428571429
2018-12-28,1164,649.428571428571
2018-12-31,2039,645.857142857143
2019-01-01,62,654.714285714286
2019-01-02,1763,906.428571428571
2019-01-03,1682,958.571428571429
2019-01-04,2476,1146
2019-01-05,1,1146.14285714286
2019-01-07,3075,1294.14285714286
2019-01-08,2869,1695.14285714286
2019-01-09,2257,1765.71428571429
2019-01-10,2378,1865.14285714286
2019-01-11,2289,1838.42857142857
2019-01-13,1,1838.42857142857
2019-01-14,3498,1898.85714285714
2019-01-15,2772,1885
2019-01-16,3133,2010.14285714286
2019-01-17,2650,2049
2019-01-18,2431,2069.28571428571
2019-01-21,3066,2007.42857142857
2019-01-22,2749,2004.14285714286
2019-01-23,2713,1944.14285714286
2019-01-24,2573,1933.14285714286
2019-01-25,2428,1932.71428571429
